COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_AREA;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;COD_VIAL;CLASE_VIAL;PARTICULAR_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LONGITUD;LATITUD;FECHA_INSTALACION_O_SUSTITUCION;MODELO;
5001;PAPELERA_EXP;504757;;20004152;AVENIDA DE LA GRAN VIA DE SAN FRANCISCO N.19;AVENIDA DE LA GRAN VIA DE SAN FRANCISCO,19;669050;AVENIDA;DE LA;GRAN VIA DE SAN FRANCISCO;N;19;11;PALACIO;1;CENTRO;439424,8287;4473496,159;-3.71393;40.40988;16/07/2010;50_LTS_EX;
5001;PAPELERA_EXP;516240;;20147367;AVENIDA DE LA GRAN VIA DE SAN FRANCISCO N.6;AVENIDA DE LA GRAN VIA DE SAN FRANCISCO,6;669050;AVENIDA;DE LA;GRAN VIA DE SAN FRANCISCO;N;6;11;PALACIO;1;CENTRO;439530,2964;4473316,587;-3.71267;40.40827;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;514556;;20103618;CALLE DE BAILEN N.4;CALLE DE BAILEN,17;88200;CALLE;DE;BAILEN;N;4;11;PALACIO;1;CENTRO;439515,209;4474496,711;-3.71296;40.4189;19/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;514554;;20103594;CALLE DE BAILEN N.17;CALLE DE BAILEN,17;88200;CALLE;DE;BAILEN;N;17;11;PALACIO;1;CENTRO;439507,4995;4474382,436;-3.71304;40.41787;19/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;521696;;11000007;CALLE DE BAILEN N.19;CALLE DE BAILEN,19;88200;CALLE;DE;BAILEN;N;19;11;PALACIO;1;CENTRO;439479,8976;4474116,242;-3.71334;40.41547;31/08/2011;50_LTS_EX;
5001;PAPELERA_EXP;518483;;11001006;CALLE DE BAILEN N.27;CALLE DE BAILEN,31;88200;CALLE;DE;BAILEN;N;27;11;PALACIO;1;CENTRO;439439,0327;4473889,008;-3.7138;40.41342;04/03/2011;50_LTS_EX;
5001;PAPELERA_EXP;519079;;31009290;CALLE DE BEATRIZ GALINDO N.6;CALLE DE BEATRIZ GALINDO,6;98100;CALLE;DE;BEATRIZ GALINDO;N;6;11;PALACIO;1;CENTRO;439245,5289;4473778,457;-3.71607;40.41241;04/04/2011;50_LTS_EX;
5001;PAPELERA_EXP;501701;;11000228;CALLE DE ISABEL LA CATOLICA N.1;CALLE DE ISABEL LA CATOLICA,1;377300;CALLE;DE;ISABEL LA CATOLICA;N;1;11;PALACIO;1;CENTRO;439852,6949;4474684,927;-3.709;40.42062;12/07/2010;50_LTS_EX;
5001;PAPELERA_EXP;501710;;31037446;CALLE DE LA ENCARNACION N.5;CALLE DE LA ENCARNACION,5;265295;CALLE;DE LA;ENCARNACION;N;5;11;PALACIO;1;CENTRO;439599,0212;4474684,747;-3.71199;40.4206;12/07/2010;50_LTS_EX;
5001;PAPELERA_EXP;515078;;11000365;CALLE DE LA INDEPENDENCIA N.4;CALLE DE LA INDEPENDENCIA,4;372600;CALLE;DE LA;INDEPENDENCIA;N;4;11;PALACIO;1;CENTRO;439768,7297;4474371,452;-3.70996;40.41779;28/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;516243;;11001129;CALLE DE LA VENTOSA N.19;CALLE DE LA VENTOSA,17;775100;CALLE;DE LA;VENTOSA;N;19;11;PALACIO;1;CENTRO;439441,7833;4473283,999;-3.71371;40.40797;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;504257;;11000893;CALLE DE LAS TABERNILLAS N.19;CALLE DE LAS TABERNILLAS,19;731700;CALLE;DE LAS;TABERNILLAS;N;19;11;PALACIO;1;CENTRO;439628,1521;4473561,123;-3.71154;40.41048;15/07/2010;50_LTS_EX;
5001;PAPELERA_EXP;514523;;31037234;CALLE DEL DOCTOR CARRACIDO N.1;CALLE DE LEGANITOS,28;240500;CALLE;DEL;DOCTOR CARRACIDO;N;1;11;PALACIO;1;CENTRO;439717,8696;4474904,694;-3.71061;40.42259;18/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;514557;;11000296;PLAZA DE ORIENTE N.8;CALLE DE PAVIA,2;551300;PLAZA;DE;ORIENTE;N;8;11;PALACIO;1;CENTRO;439622,0677;4474491,409;-3.7117;40.41886;19/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;514382;;31037261;CALLE DE REQUENA N.7;CALLE DE REQUENA,7;637400;CALLE;DE;REQUENA;N;7;11;PALACIO;1;CENTRO;439505,328;4474323,62;-3.71306;40.41734;04/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;516310;;11000156;CALLE  GRAN VIA N.51;CALLE DE SAN BERNARDO,11;342950;CALLE;;GRAN VIA;N;51;11;PALACIO;1;CENTRO;439941,5544;4474763,03;-3.70796;40.42133;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;516281;;11000068;CALLE DE SAN QUINTIN N.4;CALLE DE SAN QUINTIN,4;683200;CALLE;DE;SAN QUINTIN;N;4;11;PALACIO;1;CENTRO;439592,0541;4474557,145;-3.71206;40.41945;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;516294;;11000337;CALLE DEL CONDE DE LEMOS N.8;CALLE DE SANTIAGO,11;205800;CALLE;DEL;CONDE DE LEMOS;N;8;11;PALACIO;1;CENTRO;439703,1813;4474238,771;-3.71072;40.41659;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;504567;;31028017;CALLE DE SEGOVIA N.23;CALLE DE SEGOVIA,23;706300;CALLE;DE;SEGOVIA;N;23;11;PALACIO;1;CENTRO;439417,4576;4473949,126;-3.71406;40.41396;16/07/2010;50_LTS_EX;
5001;PAPELERA_EXP;516227;;31033460;CALLE DE SEGOVIA N.27;CALLE DE SEGOVIA,27;706300;CALLE;DE;SEGOVIA;N;27;11;PALACIO;1;CENTRO;439353,6906;4473932,991;-3.71481;40.41381;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;516264;;31033463;CALLE DE SEGOVIA N.28;CALLE DE SEGOVIA,28;706300;CALLE;DE;SEGOVIA;N;28;11;PALACIO;1;CENTRO;439313,976;4473953,293;-3.71528;40.41399;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;514377;;11008008;CALLE DE SEGOVIA N.67;CALLE DE SEGOVIA,67;706300;CALLE;DE;SEGOVIA;N;67;11;PALACIO;1;CENTRO;438949,2051;4473962,915;-3.71958;40.41405;04/01/2011;50_LTS_EX;
5001;PAPELERA_EXP;503895;;20007178;CALLE DE SEGOVIA N.75;CALLE DE SEGOVIA,75;706300;CALLE;DE;SEGOVIA;N;75;11;PALACIO;1;CENTRO;438845,8144;4473978,188;-3.7208;40.41418;15/07/2010;50_LTS_EX;
5001;PAPELERA_EXP;512426;;11001440;CALLE DE TOLEDO N.75;CALLE DE TOLEDO,77;743600;CALLE;DE;TOLEDO;N;75;11;PALACIO;1;CENTRO;439837,8589;4473576,089;-3.70907;40.41063;05/11/2010;50_LTS_EX;
5001;PAPELERA_EXP;516218;;11001243;CALLE DE TOLEDO N.86;CALLE DE TOLEDO,86;743600;CALLE;DE;TOLEDO;N;86;11;PALACIO;1;CENTRO;439706,2755;4473357,353;-3.7106;40.40865;21/02/2011;50_LTS_EX;
5001;PAPELERA_EXP;501707;;11000148;CALLE DE TORIJA N.10;CALLE DE TORIJA,10;746800;CALLE;DE;TORIJA;N;10;11;PALACIO;1;CENTRO;439751,92;4474707,938;-3.71019;40.42082;12/07/2010;50_LTS_EX;
